" Date","CADUSD Close","CADUSD Adj. Close"
05-11-2020,"0.7135 ","0.7135 "
05-08-2020,"0.7180 ","0.7180 "
05-07-2020,"0.7157 ","0.7157 "
05-06-2020,"0.7069 ","0.7069 "
05-05-2020,"0.7119 ","0.7119 "
05-04-2020,"0.7098 ","0.7098 "
05-01-2020,"0.7105 ","0.7105 "
04-30-2020,"0.7171 ","0.7171 "
04-29-2020,"0.7205 ","0.7205 "
04-28-2020,"0.7144 ","0.7144 "
04-27-2020,"0.7125 ","0.7125 "
04-24-2020,"0.7087 ","0.7087 "
04-23-2020,"0.7106 ","0.7106 "
04-22-2020,"0.7062 ","0.7062 "
04-21-2020,"0.7037 ","0.7037 "
04-20-2020,"0.7068 ","0.7068 "
04-17-2020,"0.7136 ","0.7136 "
04-16-2020,"0.7102 ","0.7102 "
04-15-2020,"0.7086 ","0.7086 "
04-14-2020,"0.7203 ","0.7203 "
04-13-2020,"0.7192 ","0.7192 "
04-10-2020,"0.7164 ","0.7164 "
04-09-2020,"0.7156 ","0.7156 "
04-08-2020,"0.7139 ","0.7139 "
04-07-2020,"0.7147 ","0.7147 "
04-06-2020,"0.7087 ","0.7087 "
04-03-2020,"0.7058 ","0.7058 "
04-02-2020,"0.7074 ","0.7074 "
04-01-2020,"0.7047 ","0.7047 "
03-31-2020,"0.7112 ","0.7112 "
03-30-2020,"0.7059 ","0.7059 "
03-27-2020,"0.7141 ","0.7141 "
03-26-2020,"0.7133 ","0.7133 "
03-25-2020,"0.7047 ","0.7047 "
03-24-2020,"0.6914 ","0.6914 "
03-23-2020,"0.6900 ","0.6900 "
03-20-2020,"0.6963 ","0.6963 "
03-19-2020,"0.6891 ","0.6891 "
03-18-2020,"0.6896 ","0.6896 "
03-17-2020,"0.7041 ","0.7041 "
03-16-2020,"0.7135 ","0.7135 "
03-13-2020,"0.7233 ","0.7233 "
03-12-2020,"0.7181 ","0.7181 "
03-11-2020,"0.7256 ","0.7256 "
03-10-2020,"0.7285 ","0.7285 "
03-09-2020,"0.7298 ","0.7298 "
03-06-2020,"0.7454 ","0.7454 "
03-05-2020,"0.7452 ","0.7452 "
03-04-2020,"0.7466 ","0.7466 "
03-03-2020,"0.7479 ","0.7479 "
03-02-2020,"0.7499 ","0.7499 "
02-28-2020,"0.7450 ","0.7450 "
02-27-2020,"0.7473 ","0.7473 "
02-26-2020,"0.7509 ","0.7509 "
02-25-2020,"0.7523 ","0.7523 "
02-24-2020,"0.7524 ","0.7524 "
02-21-2020,"0.7565 ","0.7565 "
02-20-2020,"0.7541 ","0.7541 "
02-19-2020,"0.7560 ","0.7560 "
02-18-2020,"0.7543 ","0.7543 "
02-17-2020,"0.7557 ","0.7557 "
02-14-2020,"0.7547 ","0.7547 "
02-13-2020,"0.7540 ","0.7540 "
02-12-2020,"0.7545 ","0.7545 "
02-11-2020,"0.7525 ","0.7525 "
02-10-2020,"0.7508 ","0.7508 "
02-07-2020,"0.7518 ","0.7518 "
02-06-2020,"0.7523 ","0.7523 "
02-05-2020,"0.7524 ","0.7524 "
02-04-2020,"0.7530 ","0.7530 "
02-03-2020,"0.7520 ","0.7520 "
01-31-2020,"0.7555 ","0.7555 "
01-30-2020,"0.7580 ","0.7580 "
01-29-2020,"0.7574 ","0.7574 "
01-28-2020,"0.7596 ","0.7596 "
01-27-2020,"0.7583 ","0.7583 "
01-24-2020,"0.7609 ","0.7609 "
01-23-2020,"0.7615 ","0.7615 "
01-22-2020,"0.7611 ","0.7611 "
01-21-2020,"0.7646 ","0.7646 "
01-20-2020,"0.7666 ","0.7666 "
01-17-2020,"0.7652 ","0.7652 "
01-16-2020,"0.7669 ","0.7669 "
01-15-2020,"0.7665 ","0.7665 "
01-14-2020,"0.7656 ","0.7656 "
01-13-2020,"0.7658 ","0.7658 "
01-10-2020,"0.7656 ","0.7656 "
01-09-2020,"0.7652 ","0.7652 "
01-08-2020,"0.7672 ","0.7672 "
01-07-2020,"0.7689 ","0.7689 "
01-06-2020,"0.7714 ","0.7714 "
01-03-2020,"0.7699 ","0.7699 "
