date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2000-01-01,1140023.0,0.0,0.0,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",01-2000
2000-02-01,1146435.0,6412.0,0.562,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2000
2000-03-01,1150666.0,4231.0,0.369,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2000
2000-04-01,1157552.0,6886.0,0.598,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2000
2000-05-01,1163974.0,6422.0,0.555,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2000
2000-06-01,1174263.0,10289.0,0.884,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",06-2000
2000-07-01,1175374.0,1111.0,0.095,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",07-2000
2000-08-01,1183268.0,7894.0,0.672,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",08-2000
2000-09-01,1183463.0,195.0,0.016,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",09-2000
2000-10-01,1189920.0,6457.0,0.546,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",10-2000
2000-11-01,1197038.0,7118.0,0.598,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",11-2000
2000-12-01,1195894.0,-1144.0,-0.096,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",12-2000
2001-01-01,1197945.0,2051.0,0.172,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",01-2001
2001-02-01,1191600.0,-6345.0,-0.53,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",02-2001
2001-03-01,1186068.0,-5532.0,-0.464,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",03-2001
2001-04-01,1184434.0,-1634.0,-0.138,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",04-2001
2001-05-01,1182109.0,-2325.0,-0.196,BUSINV,2020-06-18,2020-06-18,Total Business Inventories,1992-01-01,2020-04-01,"Monthly, End of Period",M,"Millions of Dollars, End of Period","Mil. of $, End of Period",Seasonally Adjusted,SA,2020-06-16 09:26:27-05,55,"Effective June 14, 2001, data were reconstructed to reflect the switch from the Standard Industrial Classification (SIC) system to the North American Industry Classification System (NAICS).",05-2001
