date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2000-01-01,201360.0,0.0,0.0,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,01-2000
2000-02-01,183911.0,-17449.0,-8.666,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,02-2000
2000-03-01,192130.0,8219.0,4.469,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,03-2000
2000-04-01,195044.0,2914.0,1.517,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,04-2000
2000-05-01,188606.0,-6438.0,-3.301,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,05-2000
2000-06-01,219745.0,31139.0,16.51,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,06-2000
2000-07-01,189265.0,-30480.0,-13.871,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,07-2000
2000-08-01,188730.0,-535.0,-0.283,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,08-2000
2000-09-01,199947.0,11217.0,5.943,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,09-2000
2000-10-01,186158.0,-13789.0,-6.896,DGORDER,2020-06-18,2020-06-18,Manufacturers' New Orders: Durable Goods,1992-02-01,2020-04-01,Monthly,M,Millions of Dollars,Mil. of $,Seasonally Adjusted,SA,2020-06-03 09:03:02-05,70,10-2000
