date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
2019-02-01,,0.0,0.0,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-03-01,5230000.0,,,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-04-01,5230000.0,0.0,0.0,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-05-01,5330000.0,100000.0,1.912,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-06-01,5320000.0,-10000.0,-0.188,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-07-01,5390000.0,70000.0,1.316,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-08-01,5430000.0,40000.0,0.742,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-09-01,5410000.0,-20000.0,-0.368,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-10-01,5410000.0,0.0,0.0,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-11-01,5320000.0,-90000.0,-1.664,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2019-12-01,5530000.0,210000.0,3.947,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
2020-01-01,5420000.0,-110000.0,-1.989,EXHOSLUSM495S,2020-04-29,2020-04-29,Existing Home Sales,2019-03-01,2020-03-01,Monthly,M,Number of Units,Number of Units,Seasonally Adjusted Annual Rate,SAAR,2020-04-21 10:18:01-05,68,"Existing-home sales are based on closing transactions of single-family, townhomes, condominiums and cooperative homes. Copyright, 2016, National Association of Realtors. Reprinted with permission."
