date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,month_year
2000-01-01,873.0,0.0,0.0,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,01-2000
2000-02-01,856.0,-17.0,-1.947,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,02-2000
2000-03-01,900.0,44.0,5.14,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,03-2000
2000-04-01,841.0,-59.0,-6.556,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,04-2000
2000-05-01,857.0,16.0,1.902,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2000
2000-06-01,793.0,-64.0,-7.468,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2000
2000-07-01,887.0,94.0,11.854,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2000
2000-08-01,848.0,-39.0,-4.397,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2000
2000-09-01,912.0,64.0,7.547,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2000
2000-10-01,933.0,21.0,2.303,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,10-2000
2000-11-01,880.0,-53.0,-5.681,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,11-2000
2000-12-01,983.0,103.0,11.705,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,12-2000
2001-01-01,936.0,-47.0,-4.781,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,01-2001
2001-02-01,963.0,27.0,2.885,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,02-2001
2001-03-01,939.0,-24.0,-2.492,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,03-2001
2001-04-01,909.0,-30.0,-3.195,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,04-2001
2001-05-01,885.0,-24.0,-2.64,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,05-2001
2001-06-01,882.0,-3.0,-0.339,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,06-2001
2001-07-01,880.0,-2.0,-0.227,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,07-2001
2001-08-01,866.0,-14.0,-1.591,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,08-2001
2001-09-01,853.0,-13.0,-1.501,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,09-2001
2001-10-01,871.0,18.0,2.11,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,10-2001
2001-11-01,924.0,53.0,6.085,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,11-2001
2001-12-01,979.0,55.0,5.952,HSN1F,2020-06-18,2020-06-18,New One Family Houses Sold: United States,1963-01-01,2020-04-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted Annual Rate,SAAR,2020-05-26 09:02:01-05,64,12-2001
