date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2000-01-01,1727.0,0.0,0.0,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",01-2000
2000-02-01,1692.0,-35.0,-2.027,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",02-2000
2000-03-01,1651.0,-41.0,-2.423,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",03-2000
2000-04-01,1597.0,-54.0,-3.271,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",04-2000
2000-05-01,1543.0,-54.0,-3.381,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",05-2000
2000-06-01,1572.0,29.0,1.879,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",06-2000
2000-07-01,1542.0,-30.0,-1.908,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",07-2000
2000-08-01,1552.0,10.0,0.649,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",08-2000
2000-09-01,1570.0,18.0,1.16,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",09-2000
2000-10-01,1577.0,7.0,0.446,PERMIT,2020-06-18,2020-06-18,New Private Housing Units Authorized by Building Permits,1960-01-01,2020-05-01,Monthly,M,Thousands of Units,Thous. of Units,Seasonally Adjusted Annual Rate,SAAR,2020-06-17 07:31:53-05,75,"Starting with the 2005-02-16 release, the series reflects an increase in the universe of permit-issuing places from 19,000 to 20,000 places.",10-2000
