" Date","NFP_TCH Close","NFP_TCH Adj. Close"
03-31-2020,"-701.00 ","-701.00 "
02-29-2020,"273.00 ","273.00 "
02-28-2020,"273.00 ","273.00 "
01-31-2020,"225.00 ","225.00 "
12-31-2019,"145.00 ","145.00 "
11-30-2019,"266.00 ","266.00 "
10-31-2019,"128.00 ","128.00 "
09-30-2019,"136.00 ","136.00 "
08-31-2019,"130.00 ","130.00 "
07-31-2019,"164.00 ","164.00 "
06-30-2019,"224.00 ","224.00 "
05-31-2019,"75.00 ","75.00 "
04-30-2019,"263.00 ","263.00 "
03-31-2019,"196.00 ","196.00 "
02-28-2019,"33.00 ","33.00 "
01-31-2019,"311.00 ","311.00 "
12-31-2018,"222.00 ","222.00 "
11-30-2018,"176.00 ","176.00 "
10-31-2018,"237.00 ","237.00 "
09-30-2018,"118.00 ","118.00 "
08-31-2018,"270.00 ","270.00 "
07-31-2018,"147.00 ","147.00 "
06-30-2018,"208.00 ","208.00 "
05-31-2018,"268.00 ","268.00 "
04-30-2018,"175.00 ","175.00 "
03-31-2018,"155.00 ","155.00 "
02-28-2018,"324.00 ","324.00 "
01-31-2018,"176.00 ","176.00 "
12-31-2017,"175.00 ","175.00 "
11-30-2017,"216.00 ","216.00 "
10-31-2017,"271.00 ","271.00 "
09-30-2017,"14.00 ","14.00 "
08-31-2017,"221.00 ","221.00 "
07-31-2017,"190.00 ","190.00 "
06-30-2017,"239.00 ","239.00 "
05-31-2017,"155.00 ","155.00 "
04-30-2017,"175.00 ","175.00 "
03-31-2017,"73.00 ","73.00 "
02-28-2017,"200.00 ","200.00 "
01-31-2017,"259.00 ","259.00 "
12-31-2016,"180.00 ","180.00 "
11-30-2016,"172.00 ","172.00 "
10-31-2016,"140.00 ","140.00 "
09-30-2016,"264.00 ","264.00 "
08-31-2016,"175.00 ","175.00 "
07-31-2016,"325.00 ","325.00 "
06-30-2016,"285.00 ","285.00 "
05-31-2016,"34.00 ","34.00 "
04-30-2016,"174.00 ","174.00 "
03-31-2016,"235.00 ","235.00 "
02-29-2016,"257.00 ","257.00 "
01-31-2016,"103.00 ","103.00 "
12-31-2015,"234.00 ","234.00 "
11-30-2015,"264.00 ","264.00 "
10-31-2015,"351.00 ","351.00 "
09-30-2015,"88.00 ","88.00 "
08-31-2015,"164.00 ","164.00 "
07-31-2015,"256.00 ","256.00 "
06-30-2015,"191.00 ","191.00 "
05-31-2015,"326.00 ","326.00 "
04-30-2015,"282.00 ","282.00 "
03-31-2015,"78.00 ","78.00 "
02-28-2015,"267.00 ","267.00 "
01-31-2015,"211.00 ","211.00 "
12-31-2014,"251.00 ","251.00 "
11-30-2014,"307.00 ","307.00 "
10-31-2014,"255.00 ","255.00 "
09-30-2014,"284.00 ","284.00 "
08-31-2014,"226.00 ","226.00 "
